time_years,pH,gems_code,rate_Qtz_mol_s,Ca/Si in CSH
35.0,13.187282932842546,2,2.4195654683890556e-10,1.5988080633670805
36.0,13.18617362320433,2,2.416776274888922e-10,1.5988896905150893
37.0,13.185068621393398,2,2.4139989800251716e-10,1.5989707762852663
38.0,13.183967895118892,2,2.411233492349767e-10,1.5990513260139805
39.0,13.182871416362971,2,2.4084797159416606e-10,1.599131346738819
40.0,13.181779144388027,2,2.4057375637230924e-10,1.5992108394103932
41.0,13.180691061154684,2,2.403006924201606e-10,1.599289815351555
42.0,13.179607124898158,2,2.4002877302866753e-10,1.5993682740783322
43.0,13.178527313907376,2,2.397579870272425e-10,1.599446225097882
44.0,13.177451595853832,2,2.3948832700580075e-10,1.5995236721522252
45.0,13.17637994143907,2,2.3921978364989607e-10,1.599600620325744
46.0,13.175312324497819,2,2.389523482429336e-10,1.599677075937827
47.0,13.17424871099062,2,2.38686012681345e-10,1.599753041386066
48.0,13.173189074970988,2,2.384207674711122e-10,1.5998285227319657
49.0,13.172133388365804,2,2.38156604625539e-10,1.5999035247904132
50.0,13.171081623923236,2,2.3789351581479595e-10,1.5999780524844271
51.0,13.170033751223583,2,2.3763149290764936e-10,1.6000521092912452
52.0,13.168989749456525,2,2.3737052722624303e-10,1.600125702363586
53.0,13.167949589116736,2,2.3711061189863185e-10,1.6001988354364396
54.0,13.166913240692665,2,2.3685173841235633e-10,1.600271511553817
55.0,13.165880676825614,2,2.36593898453412e-10,1.6003437349602478
56.0,13.164851877997146,2,2.363370840254448e-10,1.6004155124143722
57.0,13.16382681372032,2,2.3608128861489e-10,1.6004868465421744
58.0,13.162805460262698,2,2.3582650375376534e-10,1.6005577422134625
59.0,13.161787794703164,2,2.355727222401493e-10,1.6006282043743791
60.0,13.160773783363666,2,2.353199370425367e-10,1.6006982343775193
61.0,13.159763410228067,2,2.350681392400834e-10,1.6007678391360483
62.0,13.158756647926792,2,2.34817323108975e-10,1.6008370217623689
63.0,13.157753472879579,2,2.345674809255978e-10,1.6009057864271246
64.0,13.156753859223983,2,2.343186056795766e-10,1.6009741365680568
65.0,13.155757785715654,2,2.340706899780974e-10,1.601042076736355
66.0,13.154765226411385,2,2.3382372729918685e-10,1.601109610154985
67.0,13.153776159889427,2,2.335777102977125e-10,1.601176741081925
68.0,13.152790562516284,2,2.3333263247992614e-10,1.6012434731123313
69.0,13.151808414530015,2,2.3308848698099675e-10,1.6013098106147825
70.0,13.1508296844755,2,2.3284526765514014e-10,1.601375755273276
71.0,13.149854358695592,2,2.3260296632115975e-10,1.6014413126392817
72.0,13.148882414799727,2,2.323615779632549e-10,1.6015064860489114
73.0,13.147913825774657,2,2.3212109609064099e-10,1.6015712781847107
74.0,13.146948572481959,2,2.318815133395911e-10,1.6016356929540498
75.0,13.145986631439317,2,2.3164282384721945e-10,1.6016997335331378
76.0,13.145027984682947,2,2.3140502095726086e-10,1.6017634037232265
77.0,13.144072610567186,2,2.3116809909820186e-10,1.60182670683018
78.0,13.14312048809869,2,2.3093205199416765e-10,1.6018896461233776
79.0,13.142171595440546,2,2.3069687353778934e-10,1.6019522247100064
80.0,13.141225912717594,2,2.3046255749667597e-10,1.6020144458987202
81.0,13.140283419065142,2,2.3022909801605348e-10,1.6020763128107307
82.0,13.139344096253337,2,2.2999648908875965e-10,1.6021378287969326
83.0,13.138407924671032,2,2.2976472520247843e-10,1.6021989969097488
84.0,13.137474881078608,2,2.2953380064437525e-10,1.6022598199962845
85.0,13.136544947984943,2,2.2930370901704407e-10,1.6023203012402087
86.0,13.135618103920567,2,2.2907444503527384e-10,1.6023804435475344
87.0,13.134694336375942,2,2.2884600268588707e-10,1.602440250185882
88.0,13.133773619714107,2,2.2861837765973604e-10,1.6024997237776677
89.0,13.1328559374772,2,2.2839156320462342e-10,1.6025588673248776
90.0,13.131941268489069,2,2.2816555431381878e-10,1.6026176836386599
91.0,13.131029599445768,2,2.279403451175019e-10,1.602676175652433
92.0,13.130120908918247,2,2.277159312306183e-10,1.60273434609595
