time_years,Ca,Si,Al,Mg,S,C
1.0,1.7079123020410298,0.041325494619084795,0.04414629097097513,2.1188690584315217e-06,1.0342046759910966,0.08922247875967709
2.0,1.7141498311175376,0.04124354478871626,0.044006062094249,2.1248669393403758e-06,1.0262942465385128,0.08856985828141888
3.0,1.7203832037757152,0.04116249213398167,0.043866903871224654,2.1308541751319848e-06,1.0184798218484508,0.08792520478044046
4.0,1.7266124127572882,0.04108232397037749,0.04372880427769469,2.1368308038245756e-06,1.0107598231869297,0.08728838708026537
5.0,1.7328399996671733,0.04100298362696519,0.04359169958555375,2.1427987839201264e-06,1.0031335954195335,0.08665940346682992
6.0,1.739063491261711,0.04092450178160094,0.043455629009123434,2.148756293348567e-06,0.9955987390718231,0.08603800108722073
7.0,1.7452837235031815,0.040846851854736396,0.043320564111230135,2.1547040030726006e-06,0.9881540577367447,0.0854240971468823
8.0,1.7515007123346336,0.04077002173276611,0.043186493435058516,2.1606419663011394e-06,0.9807980950392097,0.08481756994349923
9.0,1.757714473166991,0.040693999568416635,0.043053405776797386,2.1665702343052444e-06,0.9735294244248337,0.08421830017569619
10.0,1.763925057919796,0.0406187730060611,0.04292128920092459,2.1724888887216334e-06,0.9663466589182743,0.08362617274440871
11.0,1.77013241632159,0.040544331768290295,0.04279013414977108,2.1783979289243894e-06,0.959248407552165,0.08304107007632025
12.0,1.7763365929152082,0.04047066410052195,0.04265992927240333,2.184297428643895e-06,0.9522333377212883,0.08246288139214346
13.0,1.7825376069388204,0.04039775888691526,0.042530663883055514,2.1901874415659665e-06,0.9453001348894313,0.08189149694754322
14.0,1.7887354726115392,0.04032560530129542,0.042402327556125344,2.196068017036071e-06,0.9384475095099534,0.08132680897017021
15.0,1.794929299100812,0.040254211476190425,0.04227493181804416,2.201938459635381e-06,0.9316740553843857,0.08076867123475426
16.0,1.8011210000962883,0.04018352465121115,0.04214841681165929,2.2078004392883807e-06,0.9249787125958119,0.08021706823945043
17.0,1.8073094081213548,0.040113567803550694,0.04202281280489348,2.2136528555638134e-06,0.9183604420059367,0.07967183835523439
18.0,1.8134949886757892,0.0400443120196189,0.04189808634971217,2.2194963230455234e-06,0.9118177453706562,0.07913290887402738
19.0,1.8196780799128995,0.039975745980309396,0.041774227458211265,2.225331039062598e-06,0.9053496654360905,0.07860019173714546
20.0,1.8258573848393171,0.039907884705068675,0.04165125433885857,2.231156029710452e-06,0.8989548174999993,0.0780735372737894
21.0,1.832032671830463,0.039840724307007934,0.04152916411796343,2.2369711241950406e-06,0.8926320611257141,0.07755284276939824
22.0,1.8382068133813825,0.03977419668343228,0.04140788055643628,2.2427787135463012e-06,0.8863807119476766,0.07703813250632205
23.0,1.8443760521648804,0.03970837008149977,0.04128748281766976,2.248575748498954e-06,0.8801991428162039,0.07652916408936426
24.0,1.8505432217201934,0.03964317410083744,0.0411678914223219,2.2543646595624483e-06,0.8740865663166202,0.07602596410980175
25.0,1.8567075113652367,0.039578623968453255,0.041049126408367075,2.260144667129924e-06,0.868042108213279,0.07552840794999728
26.0,1.862868612030052,0.03951471637927555,0.04093118496236247,2.265915574288868e-06,0.8620646555194172,0.0750363990057426
27.0,1.869027833308872,0.03945141057653312,0.04081402108728984,2.271678605854832e-06,0.8561531646272078,0.07454990561451211
28.0,1.875182331537866,0.03938875858803095,0.0406976947074329,2.277431421539267e-06,0.8503063693063975,0.07406873816993181
29.0,1.881335476896725,0.03932668614274246,0.040582124128842496,2.2831767544634115e-06,0.8445238008914168,0.07359293886415406
30.0,1.8874849002362377,0.039265231092287155,0.04046735195532096,2.288912757925395e-06,0.8388041533636632,0.07312234288089994
31.0,1.8936314077799907,0.03920437006354658,0.04035335310057987,2.2946401041626035e-06,0.8331466188602169,0.07265690139158766
32.0,1.8997750120073535,0.03914409516608204,0.040240119551445096,2.3003588351420414e-06,0.8275502868708436,0.07219653837358778
33.0,1.9059157244947782,0.0390843986319352,0.04012764339553927,2.3060689924149877e-06,0.8220142629504339,0.07174117921290697
34.0,1.912052729524415,0.03902528875276996,0.04001593422839618,2.3117699601007634e-06,0.816537552644571,0.0712907232789532
35.0,1.9181876122222123,0.03896672559808007,0.03990494849738378,2.317463069247922e-06,0.811119421528988,0.07084515233698921
36.0,1.924319369169996,0.03890872342203567,0.03979470230893374,2.323147521792908e-06,0.8057590198532673,0.07040436049862998
37.0,1.9304486249836352,0.038851265432468855,0.03968517895747547,2.3288237860349424e-06,0.800455612940812,0.06996829787697376
38.0,1.9365750475209864,0.03879434890607268,0.03957637509741681,2.3344916787189183e-06,0.7952082833138754,0.06953688604057391
39.0,1.9427004265639358,0.038737942314056854,0.039468259751672584,2.340152440266525e-06,0.7900167398983318,0.06911010945987556
40.0,1.9488194357091089,0.03868211231328206,0.03936089690509395,2.345802504884811e-06,0.7848786664057761,0.06868774860929269
41.0,1.9549389267077273,0.03862675595734913,0.03925418579217192,2.3514465804525206e-06,0.7797952312461008,0.06826993548887104
42.0,1.9610526387018572,0.03857195863036016,0.03914821051239119,2.357080322390084e-06,0.7747639381625904,0.06785642846384997
43.0,1.967165060510613,0.03851764643175104,0.039042897035890964,2.3627069396449336e-06,0.7697852653965872,0.06744729202058113
44.0,1.973274719175303,0.03846383520633739,0.03893826082242415,2.368325419436452e-06,0.7648580757123393,0.06704242315802159
45.0,1.9793816155068324,0.038410518742395296,0.0388342953181007,2.37393579170815e-06,0.7599816475186052,0.06664176162054039
46.0,1.9854872821180898,0.03835766796612664,0.03873097135825171,2.379539170753858e-06,0.7551556717224899,0.06624528883473428
47.0,1.9915887698849448,0.038305320988337,0.03862832620136669,2.3851335008315435e-06,0.7503786724812294,0.06585286804094302
48.0,1.9976874502699198,0.038253451519293026,0.03852633339826095,2.390719778268787e-06,0.7456503375371625,0.0654644788788766
49.0,2.0037833331688524,0.038202053682642255,0.038424986715003016,2.396298037501506e-06,0.7409700005329467,0.06508006552899054
50.0,2.0098766056652293,0.03815111864129402,0.038324276891328425,2.4018684450130846e-06,0.7363370315187654,0.06469957777349282
51.0,2.015965703702243,0.038100664356606584,0.03822422110487115,2.4074299183542816e-06,0.7317503976721684,0.06432292232985261
52.0,2.0220537568000534,0.03805063671290733,0.03812476524199676,2.412984735366918e-06,0.7272101798824826,0.0639501247861671
53.0,2.028140343877161,0.03800104166136452,0.03802591588461011,2.4185325268752593e-06,0.7227158322789657,0.06358111925207403
54.0,2.034222881474045,0.03795190742778107,0.03792769896617077,2.4240715904916974e-06,0.7182659057931763,0.0632157931184424
55.0,2.040301150042388,0.03790323358742195,0.03783011378777282,2.429601769097674e-06,0.7138598161804361,0.06285409127053683
56.0,2.046378666503831,0.03785496248527404,0.037733103471098345,2.4351255726794303e-06,0.7094978128345295,0.062496047585522164
57.0,2.052452943876287,0.03780712631074478,0.037636698915688035,2.440641268537067e-06,0.7051787207560746,0.06214155406121361
58.0,2.0585248875936357,0.037759706274708434,0.037540881136228374,2.4461495275462015e-06,0.7009021686989632,0.06179058391238923
59.0,2.0645957987263572,0.03771267821909791,0.037445626076468196,2.451651291694757e-06,0.6966678983380046,0.06144311892034859
60.0,2.070660912399127,0.03766610796110426,0.037350997040655684,2.45714322841448e-06,0.6924742331112081,0.06109900537665581
