time_years,quartz,CSH,ettringite,thaumasite,monosulphate,monocarbonate,hydrotalcite,Kuzel_s,Friedel_s,straetlingite,calcite,MSH,gypsum,portlandite,zeolites,hydrogarnet,ferrihydrite,Al(OH)3(mic)
1.0,605.1125698164647,113.53186684711805,30.32167771647596,0.0,0.0,10.202699251392124,10.060523885294804,0.0,0.0,0.0,65.40144598997284,0.0,0.0,60.06615674507517,0.0,21.98057795871953,0.0,0.0
2.0,604.9322156629038,114.25213417015422,30.322690105880575,0.0,0.0,10.202087492551774,10.06052388524296,0.0,0.0,0.0,65.40144330791877,0.0,0.0,59.64238721793606,0.0,21.980699701264342,0.0,0.0
3.0,604.7520937889275,114.97148834867936,30.323692462149868,0.0,0.0,10.201480944985846,10.060523885191333,0.0,0.0,0.0,65.40144055128383,0.0,0.0,59.21913726684705,0.0,21.980820685623534,0.0,0.0
4.0,604.5722030612362,115.68993370071543,30.324684915401804,0.0,0.0,10.200879537723658,10.060523885139931,0.0,0.0,0.0,65.40143772548392,0.0,0.0,58.79640458188522,0.0,21.980940923818235,0.0,0.0
5.0,604.3925423569626,116.40747504887426,30.325667440003556,0.0,0.0,10.200283814963775,10.060523885088724,0.0,0.0,0.0,65.40143476638742,0.0,0.0,58.37418665458008,0.0,21.98106012731232,0.0,0.0
6.0,604.2131105628278,117.1241161228536,30.326640354932074,0.0,0.0,10.199693093531616,10.060523885037732,0.0,0.0,0.0,65.40143174177162,0.0,0.0,57.95248140878834,0.0,21.981178599712386,0.0,0.0
7.0,604.0339065763826,117.83986131040707,30.327603741290435,0.0,0.0,10.199107505089305,10.060523884986955,0.0,0.0,0.0,65.40142863287406,0.0,0.0,57.53128651430407,0.0,21.98129625343949,0.0,0.0
8.0,603.8549293049634,118.55471479050128,30.32855773825403,0.0,0.0,10.198526980071273,10.060523884936375,0.0,0.0,0.0,65.4014254419986,0.0,0.0,57.110599726467115,0.0,21.98141309762155,0.0,0.0
9.0,603.6761776657818,119.26868070521088,30.329502483842386,0.0,0.0,10.197951449052299,10.060523884886006,0.0,0.0,0.0,65.40142217129133,0.0,0.0,56.69041881885025,0.0,21.98152914152658,0.0,0.0
10.0,603.4976505857949,119.9817631695986,30.330438105749288,0.0,0.0,10.19738085578722,10.060523884835845,0.0,0.0,0.0,65.40141882236423,0.0,0.0,56.270741578971744,0.0,21.98164438948497,0.0,0.0
